date,close,open,high,low,%_change
"Jun 09, 2020","1,714.57","1,700.49","1,721.04","1,692.20",0.98%
"Jun 08, 2020","1,697.96","1,684.65","1,700.90","1,677.52",0.72%
"Jun 05, 2020","1,685.83","1,711.81","1,717.25","1,670.74",-1.52%
"Jun 04, 2020","1,711.83","1,699.89","1,721.62","1,696.90",0.78%
"Jun 03, 2020","1,698.64","1,728.10","1,733.80","1,689.54",-1.70%
"Jun 02, 2020","1,727.96","1,740.34","1,745.26","1,721.40",-0.71%
"Jun 01, 2020","1,740.33","1,738.05","1,744.84","1,727.26",0.70%
"May 29, 2020","1,728.30","1,721.70","1,737.71","1,712.53",0.52%
"May 28, 2020","1,719.40","1,709.04","1,727.52","1,707.11",0.59%
"May 27, 2020","1,709.26","1,712.47","1,716.37","1,693.82",-0.19%
"May 26, 2020","1,712.45","1,728.82","1,736.07","1,708.30",-0.99%
"May 25, 2020","1,729.57","1,734.61","1,736.01","1,721.45",-0.37%
"May 22, 2020","1,736.07","1,725.26","1,740.07","1,723.62",0.56%
"May 21, 2020","1,726.33","1,749.52","1,751.01","1,717.10",-1.32%
"May 20, 2020","1,749.50","1,745.92","1,754.77","1,741.89",0.25%
"May 19, 2020","1,745.11","1,732.31","1,748.76","1,725.66",0.74%
"May 18, 2020","1,732.32","1,743.01","1,765.94","1,727.20",-0.61%
"May 15, 2020","1,743.00","1,730.52","1,752.13","1,727.93",0.71%
"May 14, 2020","1,730.65","1,715.63","1,737.41","1,710.51",0.85%
"May 13, 2020","1,715.99","1,702.50","1,719.02","1,698.81",0.78%
"May 12, 2020","1,702.72","1,697.04","1,711.79","1,693.17",0.32%
"May 11, 2020","1,697.35","1,702.65","1,712.64","1,691.59",-0.31%
"May 08, 2020","1,702.65","1,717.46","1,723.91","1,701.06",-0.89%
"May 07, 2020","1,717.94","1,686.08","1,723.06","1,683.50",1.90%
"May 06, 2020","1,685.89","1,707.51","1,709.34","1,682.28",-1.25%
"May 05, 2020","1,707.17","1,700.82","1,712.90","1,691.45",0.32%
"May 04, 2020","1,701.69","1,699.00","1,712.57","1,691.84",0.08%
"May 01, 2020","1,700.41","1,685.95","1,706.53","1,670.06",0.91%
"Apr 30, 2020","1,685.05","1,712.27","1,723.17","1,680.64",-1.60%
"Apr 29, 2020","1,712.39","1,708.30","1,717.76","1,697.55",0.22%
"Apr 28, 2020","1,708.64","1,715.31","1,716.04","1,691.63",-0.40%
"Apr 27, 2020","1,715.57","1,726.15","1,727.93","1,705.68",-0.80%
"Apr 24, 2020","1,729.43","1,731.57","1,737.44","1,710.21",-0.12%
"Apr 23, 2020","1,731.58","1,713.56","1,739.74","1,706.26",0.98%
"Apr 22, 2020","1,714.82","1,687.10","1,719.65","1,680.09",1.65%
"Apr 21, 2020","1,687.02","1,694.11","1,698.60","1,661.39",-0.42%
"Apr 20, 2020","1,694.11","1,692.25","1,703.46","1,671.49",0.56%
"Apr 17, 2020","1,684.69","1,715.99","1,719.12","1,679.37",-1.96%
"Apr 16, 2020","1,718.40","1,716.46","1,739.17","1,707.88",0.11%
"Apr 15, 2020","1,716.60","1,728.80","1,732.27","1,707.71",-0.76%
"Apr 14, 2020","1,729.70","1,712.34","1,747.85","1,708.55",0.90%
"Apr 13, 2020","1,714.32","1,685.69","1,723.88","1,674.87",1.45%
"Apr 10, 2020","1,689.90","1,676.00","1,697.50","1,676.00",0.35%
"Apr 09, 2020","1,684.07","1,646.08","1,691.17","1,643.10",2.28%
"Apr 08, 2020","1,646.52","1,647.59","1,657.69","1,641.94",-0.15%
"Apr 07, 2020","1,648.95","1,663.03","1,673.55","1,641.89",-0.85%
"Apr 06, 2020","1,663.00","1,597.50","1,669.97","1,597.50",2.75%
"Apr 03, 2020","1,618.45","1,615.09","1,626.07","1,606.30",0.29%
"Apr 02, 2020","1,613.79","1,590.52","1,621.15","1,579.04",1.18%
"Apr 01, 2020","1,595.05","1,571.00","1,603.41","1,566.97",1.51%
"Mar 31, 2020","1,571.31","1,618.49","1,626.27","1,566.23",-3.20%
"Mar 30, 2020","1,623.30","1,622.00","1,639.61","1,608.72",-0.01%
"Mar 27, 2020","1,623.50","1,632.38","1,637.86","1,612.22",-0.54%
"Mar 26, 2020","1,632.39","1,617.25","1,647.28","1,595.84",1.15%
"Mar 25, 2020","1,613.79","1,628.19","1,643.05","1,587.20",-0.51%
"Mar 24, 2020","1,622.03","1,553.71","1,638.72","1,553.41",4.39%
"Mar 23, 2020","1,553.81","1,508.15","1,561.48","1,485.10",3.71%
"Mar 20, 2020","1,498.24","1,470.54","1,516.25","1,460.30",1.85%
"Mar 19, 2020","1,471.00","1,485.90","1,501.05","1,464.18",-1.03%
"Mar 18, 2020","1,486.30","1,527.70","1,546.22","1,472.86",-2.77%
"Mar 17, 2020","1,528.57","1,512.45","1,553.26","1,465.81",0.92%
"Mar 16, 2020","1,514.61","1,550.55","1,573.49","1,451.50",-0.99%
"Mar 13, 2020","1,529.70","1,576.95","1,597.72","1,506.86",-3.00%
"Mar 12, 2020","1,577.08","1,634.80","1,650.47","1,561.01",-3.54%
"Mar 11, 2020","1,635.03","1,649.69","1,671.13","1,632.97",-0.87%
"Mar 10, 2020","1,649.36","1,679.10","1,680.53","1,642.15",-1.84%
"Mar 09, 2020","1,680.20","1,694.40","1,702.96","1,657.74",0.36%
"Mar 06, 2020","1,674.23","1,670.58","1,692.10","1,648.12",0.22%
"Mar 05, 2020","1,670.61","1,635.91","1,674.69","1,635.07",2.13%
"Mar 04, 2020","1,635.83","1,639.76","1,651.65","1,632.06",-0.24%
"Mar 03, 2020","1,639.77","1,590.77","1,649.55","1,587.86",3.08%
"Mar 02, 2020","1,590.73","1,591.10","1,611.03","1,579.70",0.35%
"Feb 28, 2020","1,585.13","1,642.15","1,649.48","1,565.86",-3.48%
"Feb 27, 2020","1,642.35","1,640.55","1,660.57","1,635.65",0.15%
"Feb 26, 2020","1,639.96","1,635.37","1,655.09","1,625.79",0.28%
"Feb 25, 2020","1,635.38","1,660.72","1,660.86","1,629.10",-1.53%
"Feb 24, 2020","1,660.72","1,659.05","1,689.11","1,652.37",1.04%
"Feb 21, 2020","1,643.70","1,619.69","1,649.15","1,618.94",1.48%
"Feb 20, 2020","1,619.70","1,611.71","1,623.79","1,603.98",0.50%
"Feb 19, 2020","1,611.64","1,601.85","1,613.04","1,599.53",0.61%
"Feb 18, 2020","1,601.92","1,583.44","1,605.45","1,583.09",1.32%
"Feb 17, 2020","1,581.10","1,584.70","1,584.81","1,578.60",-0.23%
"Feb 14, 2020","1,584.70","1,576.30","1,585.05","1,573.12",0.53%
"Feb 13, 2020","1,576.39","1,565.62","1,578.24","1,565.53",0.69%
"Feb 12, 2020","1,565.63","1,567.73","1,570.59","1,561.80",-0.13%
"Feb 11, 2020","1,567.71","1,572.09","1,574.17","1,562.29",-0.29%
"Feb 10, 2020","1,572.30","1,570.29","1,577.23","1,568.01",0.13%
"Feb 07, 2020","1,570.29","1,566.86","1,574.18","1,562.39",0.22%
"Feb 06, 2020","1,566.85","1,556.95","1,568.55","1,552.46",0.65%
"Feb 05, 2020","1,556.70","1,552.56","1,562.50","1,547.40",0.27%
"Feb 04, 2020","1,552.56","1,576.40","1,579.57","1,549.14",-1.52%
"Feb 03, 2020","1,576.45","1,590.20","1,591.84","1,571.29",-0.86%
"Jan 31, 2020","1,590.20","1,574.18","1,590.21","1,570.84",1.02%
"Jan 30, 2020","1,574.21","1,577.09","1,586.16","1,572.65",-0.18%
"Jan 29, 2020","1,577.12","1,566.19","1,578.04","1,563.21",0.69%
"Jan 28, 2020","1,566.24","1,581.95","1,583.27","1,565.65",-0.99%
"Jan 27, 2020","1,581.94","1,580.10","1,586.81","1,575.81",0.72%
"Jan 24, 2020","1,570.65","1,563.30","1,576.01","1,556.42",0.47%
"Jan 23, 2020","1,563.32","1,558.93","1,568.17","1,551.68",0.28%
"Jan 22, 2020","1,558.92","1,558.03","1,559.63","1,550.08",0.06%
"Jan 21, 2020","1,558.02","1,560.94","1,568.75","1,546.41",-0.23%
"Jan 20, 2020","1,561.58","1,558.65","1,563.00","1,556.39",0.32%
"Jan 17, 2020","1,556.61","1,552.90","1,561.45","1,549.36",0.25%
"Jan 16, 2020","1,552.79","1,556.18","1,558.19","1,548.05",-0.22%
"Jan 15, 2020","1,556.19","1,546.40","1,558.44","1,546.11",0.63%
"Jan 14, 2020","1,546.37","1,548.31","1,548.95","1,536.12",-0.12%
"Jan 13, 2020","1,548.30","1,562.29","1,562.30","1,546.77",-0.89%
"Jan 10, 2020","1,562.28","1,552.40","1,563.27","1,545.52",0.64%
"Jan 09, 2020","1,552.37","1,555.76","1,561.67","1,540.18",-0.22%
"Jan 08, 2020","1,555.81","1,573.99","1,611.15","1,552.23",-1.15%
"Jan 07, 2020","1,573.99","1,565.93","1,577.53","1,555.29",0.51%
"Jan 06, 2020","1,565.96","1,561.15","1,583.44","1,560.90",0.92%
"Jan 03, 2020","1,551.65","1,528.95","1,553.70","1,528.00",1.49%
"Jan 02, 2020","1,528.94","1,517.24","1,531.55","1,517.22",0.77%
"Jan 01, 2020","1,517.30","1,517.24","1,517.48","1,517.19",-0.01%
"Dec 31, 2019","1,517.40","1,515.22","1,525.45","1,514.66",0.14%
"Dec 30, 2019","1,515.22","1,511.80","1,516.54","1,510.43",0.30%
"Dec 27, 2019","1,510.67","1,511.55","1,515.47","1,507.05",-0.06%
"Dec 26, 2019","1,511.55","1,499.42","1,512.77","1,497.66",0.80%
"Dec 25, 2019","1,499.55","1,499.55","1,499.55","1,499.55",0.00%
"Dec 24, 2019","1,499.56","1,485.57","1,500.77","1,484.41",0.95%
"Dec 23, 2019","1,485.52","1,478.20","1,486.29","1,477.51",0.50%
"Dec 20, 2019","1,478.20","1,479.14","1,481.26","1,475.70",-0.06%
"Dec 19, 2019","1,479.15","1,475.44","1,481.97","1,473.01",0.25%
"Dec 18, 2019","1,475.44","1,476.45","1,479.67","1,470.32",-0.07%
"Dec 17, 2019","1,476.45","1,476.25","1,480.78","1,474.23",0.01%
"Dec 16, 2019","1,476.25","1,475.60","1,480.03","1,472.99",0.03%
"Dec 13, 2019","1,475.81","1,469.47","1,478.22","1,462.48",0.43%
"Dec 12, 2019","1,469.43","1,474.85","1,486.95","1,464.78",-0.37%
"Dec 11, 2019","1,474.85","1,464.19","1,479.04","1,462.59",0.73%
"Dec 10, 2019","1,464.21","1,461.93","1,469.36","1,459.80",0.15%
"Dec 09, 2019","1,461.99","1,459.49","1,465.80","1,458.76",0.15%
"Dec 06, 2019","1,459.76","1,475.70","1,477.45","1,458.61",-1.08%
"Dec 05, 2019","1,475.70","1,474.34","1,480.72","1,472.90",0.09%
"Dec 04, 2019","1,474.35","1,477.34","1,484.55","1,471.39",-0.20%
"Dec 03, 2019","1,477.34","1,462.50","1,482.22","1,459.39",1.02%
"Dec 02, 2019","1,462.44","1,467.03","1,467.03","1,453.91",-0.16%
"Nov 29, 2019","1,464.80","1,455.90","1,466.81","1,452.93",0.44%
"Nov 28, 2019","1,458.34","1,456.77","1,458.57","1,454.37",0.27%
"Nov 27, 2019","1,454.35","1,461.65","1,462.11","1,452.45",-0.50%
"Nov 26, 2019","1,461.60","1,454.98","1,462.97","1,450.63",0.46%
"Nov 25, 2019","1,454.97","1,462.29","1,462.41","1,453.89",-0.50%
"Nov 22, 2019","1,462.29","1,464.40","1,473.30","1,461.23",-0.14%
"Nov 21, 2019","1,464.40","1,471.25","1,475.98","1,462.60",-0.47%
"Nov 20, 2019","1,471.25","1,472.39","1,479.15","1,465.88",-0.08%
"Nov 19, 2019","1,472.38","1,470.85","1,475.72","1,464.60",0.10%
"Nov 18, 2019","1,470.85","1,467.66","1,474.30","1,456.26",0.24%
"Nov 15, 2019","1,467.37","1,471.20","1,471.49","1,462.28",-0.26%
"Nov 14, 2019","1,471.20","1,463.18","1,474.62","1,460.93",0.55%
"Nov 13, 2019","1,463.19","1,457.19","1,467.36","1,455.96",0.41%
"Nov 12, 2019","1,457.19","1,455.79","1,460.55","1,445.61",0.09%
"Nov 11, 2019","1,455.90","1,458.96","1,466.77","1,448.28",-0.19%
"Nov 08, 2019","1,458.66","1,468.01","1,473.33","1,456.28",-0.64%
"Nov 07, 2019","1,468.07","1,490.44","1,492.48","1,461.24",-1.50%
"Nov 06, 2019","1,490.46","1,484.10","1,494.46","1,482.45",0.43%
"Nov 05, 2019","1,484.10","1,509.64","1,510.10","1,479.65",-1.69%
"Nov 04, 2019","1,509.63","1,513.80","1,514.97","1,504.33",-0.29%
"Nov 01, 2019","1,513.95","1,513.32","1,515.81","1,503.31",0.04%
"Oct 31, 2019","1,513.35","1,496.40","1,514.53","1,493.72",1.20%
"Oct 30, 2019","1,495.40","1,487.60","1,496.91","1,481.21",0.52%
"Oct 29, 2019","1,487.60","1,492.69","1,495.16","1,483.72",-0.34%
"Oct 28, 2019","1,492.69","1,504.34","1,508.58","1,489.86",-0.80%
"Oct 25, 2019","1,504.73","1,504.75","1,518.07","1,500.56",0.07%
"Oct 24, 2019","1,503.65","1,492.15","1,504.27","1,488.02",0.77%
"Oct 23, 2019","1,492.10","1,488.35","1,496.50","1,487.62",0.27%
"Oct 22, 2019","1,488.05","1,484.52","1,489.29","1,480.87",0.24%
"Oct 21, 2019","1,484.50","1,492.02","1,495.48","1,481.91",-0.38%
"Oct 18, 2019","1,490.10","1,492.17","1,494.26","1,484.82",-0.12%
"Oct 17, 2019","1,491.89","1,490.55","1,497.50","1,483.45",0.14%
"Oct 16, 2019","1,489.77","1,481.13","1,491.65","1,477.06",0.58%
"Oct 15, 2019","1,481.17","1,493.20","1,498.17","1,477.53",-0.79%
"Oct 14, 2019","1,492.90","1,488.90","1,497.38","1,482.82",0.20%
"Oct 11, 2019","1,489.85","1,494.44","1,503.45","1,474.28",-0.30%
"Oct 10, 2019","1,494.30","1,505.60","1,517.08","1,491.42",-0.76%
"Oct 09, 2019","1,505.70","1,506.05","1,511.60","1,499.70",0.01%
"Oct 08, 2019","1,505.51","1,493.55","1,508.71","1,487.45",0.80%
"Oct 07, 2019","1,493.60","1,504.76","1,509.64","1,489.94",-0.73%
"Oct 04, 2019","1,504.60","1,505.19","1,511.17","1,497.15",-0.03%
"Oct 03, 2019","1,505.00","1,499.55","1,518.81","1,495.99",0.37%
"Oct 02, 2019","1,499.51","1,479.19","1,505.11","1,474.42",1.39%
"Oct 01, 2019","1,478.98","1,472.30","1,487.37","1,459.00",0.46%
"Sep 30, 2019","1,472.25","1,497.07","1,500.50","1,464.42",-1.65%
"Sep 27, 2019","1,496.94","1,506.00","1,507.70","1,487.04",-0.59%
"Sep 26, 2019","1,505.80","1,503.94","1,512.70","1,501.97",0.11%
"Sep 25, 2019","1,504.15","1,532.00","1,535.42","1,501.31",-1.84%
"Sep 24, 2019","1,532.30","1,522.40","1,535.85","1,515.80",0.67%
"Sep 23, 2019","1,522.11","1,516.66","1,527.25","1,511.50",0.33%
"Sep 20, 2019","1,517.15","1,499.40","1,517.24","1,497.90",1.20%
"Sep 19, 2019","1,499.20","1,494.00","1,504.35","1,488.90",0.35%
"Sep 18, 2019","1,493.90","1,501.55","1,511.32","1,484.36",-0.61%
"Sep 17, 2019","1,503.10","1,498.85","1,507.48","1,493.36",0.29%
"Sep 16, 2019","1,498.80","1,503.34","1,512.20","1,495.75",0.68%
"Sep 13, 2019","1,488.70","1,498.50","1,509.25","1,485.73",-0.68%
"Sep 12, 2019","1,498.95","1,497.50","1,523.96","1,488.80",0.09%
"Sep 11, 2019","1,497.60","1,486.45","1,498.56","1,485.00",0.75%
"Sep 10, 2019","1,486.40","1,499.00","1,501.45","1,484.27",-0.84%
"Sep 09, 2019","1,498.95","1,507.10","1,515.55","1,497.72",-0.53%
"Sep 06, 2019","1,506.95","1,519.20","1,527.90","1,502.89",-0.82%
"Sep 05, 2019","1,519.35","1,552.50","1,553.38","1,509.39",-2.14%
"Sep 04, 2019","1,552.60","1,547.10","1,557.38","1,533.81",0.36%
"Sep 03, 2019","1,547.00","1,529.60","1,549.90","1,521.51",1.07%
"Sep 02, 2019","1,530.59","1,520.10","1,533.81","1,519.15",0.68%
"Aug 30, 2019","1,520.25","1,527.60","1,533.45","1,517.43",-0.49%
"Aug 29, 2019","1,527.70","1,539.20","1,550.72","1,519.50",-0.74%
"Aug 28, 2019","1,539.10","1,541.80","1,547.03","1,531.55",-0.23%
"Aug 27, 2019","1,542.65","1,526.30","1,544.78","1,524.85",1.07%
"Aug 26, 2019","1,526.35","1,539.30","1,555.13","1,524.55",-0.03%
"Aug 23, 2019","1,526.85","1,499.00","1,530.11","1,493.05",1.87%
"Aug 22, 2019","1,498.80","1,502.20","1,504.68","1,491.85",-0.23%
"Aug 21, 2019","1,502.30","1,507.70","1,508.40","1,496.15",-0.32%
"Aug 20, 2019","1,507.10","1,495.60","1,508.60","1,492.85",0.79%
"Aug 19, 2019","1,495.30","1,511.15","1,513.00","1,492.65",-1.24%
"Aug 16, 2019","1,514.15","1,523.90","1,527.75","1,504.20",-0.59%
"Aug 15, 2019","1,523.20","1,517.05","1,527.00","1,508.22",0.45%
"Aug 14, 2019","1,516.33","1,501.38","1,524.30","1,494.34",1.00%
"Aug 13, 2019","1,501.39","1,510.74","1,534.75","1,481.38",-0.66%
"Aug 12, 2019","1,511.41","1,497.65","1,517.95","1,487.91",0.95%
"Aug 09, 2019","1,497.24","1,501.20","1,508.40","1,494.69",-0.25%
"Aug 08, 2019","1,500.95","1,501.50","1,509.72","1,490.08",-0.02%
"Aug 07, 2019","1,501.20","1,474.25","1,510.28","1,472.28",1.83%
"Aug 06, 2019","1,474.27","1,464.00","1,475.04","1,456.61",0.72%
"Aug 05, 2019","1,463.80","1,440.65","1,470.05","1,437.03",1.60%
"Aug 02, 2019","1,440.70","1,445.80","1,448.23","1,430.20",-0.32%
"Aug 01, 2019","1,445.31","1,411.34","1,445.98","1,400.65",2.23%
"Jul 31, 2019","1,413.80","1,431.05","1,433.07","1,411.42",-1.19%
"Jul 30, 2019","1,430.85","1,426.84","1,433.12","1,422.12",0.27%
"Jul 29, 2019","1,426.94","1,419.49","1,428.46","1,416.98",0.58%
"Jul 26, 2019","1,418.69","1,414.40","1,424.83","1,413.72",0.29%
"Jul 25, 2019","1,414.53","1,426.30","1,433.84","1,411.08",-0.80%
"Jul 24, 2019","1,425.90","1,417.55","1,429.55","1,416.43",0.60%
"Jul 23, 2019","1,417.39","1,425.15","1,429.25","1,414.29",-0.54%
"Jul 22, 2019","1,425.12","1,425.15","1,429.77","1,422.34",-0.01%
"Jul 19, 2019","1,425.30","1,446.40","1,452.96","1,420.40",-1.45%
"Jul 18, 2019","1,446.30","1,426.80","1,448.35","1,414.68",1.37%
"Jul 17, 2019","1,426.80","1,406.59","1,427.00","1,400.18",1.46%
"Jul 16, 2019","1,406.33","1,415.05","1,418.34","1,401.23",-0.55%
"Jul 15, 2019","1,414.08","1,415.75","1,419.75","1,407.69",-0.12%
"Jul 12, 2019","1,415.74","1,403.90","1,417.09","1,403.12",0.84%
"Jul 11, 2019","1,404.00","1,419.20","1,426.21","1,401.58",-1.06%
"Jul 10, 2019","1,419.00","1,397.80","1,419.21","1,389.88",1.51%
"Jul 09, 2019","1,397.90","1,395.60","1,400.13","1,386.35",0.17%
"Jul 08, 2019","1,395.50","1,400.05","1,408.03","1,391.79",-0.32%
"Jul 05, 2019","1,399.95","1,415.80","1,424.24","1,386.97",-1.11%
"Jul 04, 2019","1,415.65","1,419.59","1,422.02","1,410.43",-0.23%
"Jul 03, 2019","1,418.94","1,419.95","1,436.29","1,412.52",0.03%
"Jul 02, 2019","1,418.44","1,383.55","1,419.80","1,383.55",2.47%
"Jul 01, 2019","1,384.31","1,392.83","1,397.69","1,381.84",-1.79%
"Jun 28, 2019","1,409.50","1,409.56","1,424.67","1,406.64",-0.01%
"Jun 27, 2019","1,409.68","1,409.55","1,411.94","1,400.23",0.07%
"Jun 26, 2019","1,408.75","1,423.90","1,424.03","1,402.37",-1.02%
"Jun 25, 2019","1,423.25","1,419.17","1,438.99","1,412.30",0.26%
"Jun 24, 2019","1,419.55","1,401.35","1,421.20","1,400.33",1.47%
